orderID,customerID,employeeID,productID,quantity,unitPrice,discountPct,orderTotal,orderDate,orderTime,channel,paymentMethod,status,deliveryDate,rating
1545,8,3,1,1,1250.00,10,1125.00,2024-12-12,13:55:54,in_store,cash,completed,,5
1071,1,,3,3,89.99,0,269.97,2024-02-28,18:05:49,online,card,completed,2024-03-01,4
1104,21,8,21,3,14.99,0,44.97,2024-03-21,11:39:35,in_store,cash,completed,,
1488,10,,7,1,1100.00,15,935.00,2024-11-16,12:06:08,online,card,completed,2024-11-18,
1565,12,2,1,1,1250.00,0,1250.00,2024-12-19,18:32:40,in_store,card,completed,,
1275,7,,6,1,299.00,0,299.00,2024-07-22,20:41:10,online,card,completed,2024-07-29,4
1464,4,,33,1,12.90,10,11.61,2024-11-09,11:40:08,online,card,completed,2024-11-15,
1474,10,1,2,2,25.50,0,51.00,2024-11-13,17:50:13,in_store,transfer,completed,,5
1317,2,1,27,1,129.00,0,129.00,2024-08-16,11:01:47,in_store,transfer,completed,,5
1557,6,4,1,1,1250.00,0,1250.00,2024-12-17,11:22:50,in_store,cash,completed,,4
1030,17,8,28,3,59.00,0,177.00,2024-01-24,16:08:47,in_store,card,completed,,3
1161,14,2,18,1,39.99,10,35.99,2024-05-02,13:37:22,in_store,card,completed,,5
1004,10,4,28,1,59.00,0,59.00,2024-01-04,18:51:41,in_store,card,completed,,4
1210,6,1,15,2,480.00,0,960.00,2024-05-29,10:19:41,in_store,cash,completed,,
1176,26,,29,2,149.00,0,298.00,2024-05-09,20:42:48,online,card,completed,2024-05-15,
1255,6,3,14,1,449.00,0,449.00,2024-07-06,13:38:58,in_store,cash,completed,,1
1261,20,8,24,3,14.50,0,43.50,2024-07-11,13:36:40,in_store,card,completed,,5
1578,3,3,3,2,89.99,0,179.98,2024-12-23,11:31:39,in_store,cash,cancelled,,
1019,20,4,2,1,25.50,0,25.50,2024-01-18,13:51:47,in_store,cash,completed,,
1157,19,6,21,3,14.99,0,44.97,2024-04-26,13:09:37,in_store,cash,returned,,
1219,9,,22,2,45.00,0,90.00,2024-06-01,07:37:16,online,card,completed,2024-06-08,
1166,8,2,13,1,599.00,5,569.05,2024-05-03,18:15:41,in_store,cash,completed,,5
1280,2,1,13,1,599.00,0,599.00,2024-07-25,19:45:36,in_store,cash,completed,,5
1002,26,1,25,1,249.00,0,249.00,2024-01-02,16:28:20,in_store,cash,completed,,
1151,28,,26,1,79.00,0,79.00,2024-04-20,14:30:07,online,card,completed,2024-04-27,
1379,8,5,25,1,249.00,0,249.00,2024-09-23,16:19:44,in_store,cash,completed,,4
1330,9,2,14,1,449.00,0,449.00,2024-08-23,17:09:07,in_store,card,completed,,5
1273,22,5,27,2,129.00,0,258.00,2024-07-22,11:18:04,in_store,cash,completed,,4
1228,20,2,10,2,799.00,0,1598.00,2024-06-12,18:41:19,in_store,cash,completed,,4
1013,22,5,14,1,449.00,0,449.00,2024-01-15,10:41:25,in_store,transfer,completed,,5
1205,18,4,5,1,74.00,0,74.00,2024-05-27,15:38:48,in_store,cash,completed,,
1216,8,2,10,1,799.00,0,799.00,2024-05-31,13:26:50,in_store,cash,completed,,
1287,18,5,16,1,349.00,0,349.00,2024-07-30,15:48:59,in_store,cash,completed,,
1299,17,,31,1,149.00,0,149.00,2024-08-06,19:29:22,online,card,completed,2024-08-10,3
1271,7,5,12,1,249.00,0,249.00,2024-07-19,19:50:29,in_store,card,completed,,5
1498,28,,17,1,280.00,0,280.00,2024-11-20,15:14:46,online,card,completed,2024-11-23,
1257,12,7,33,3,12.90,0,38.70,2024-07-06,17:43:31,in_store,card,completed,,3
1182,3,,24,1,14.50,0,14.50,2024-05-14,11:24:50,online,card,completed,2024-05-18,
1391,12,4,3,2,89.99,0,179.98,2024-09-27,18:43:25,in_store,card,completed,,4
1506,2,,34,3,19.00,15,48.45,2024-11-26,22:35:40,online,card,completed,2024-11-29,
1189,16,2,20,1,99.00,0,99.00,2024-05-20,16:11:17,in_store,cash,completed,,
1595,12,1,27,2,129.00,0,258.00,2024-12-28,12:06:08,in_store,cash,cancelled,,
1230,4,,7,1,1100.00,0,1100.00,2024-06-12,19:35:07,online,card,completed,2024-06-14,
1362,11,1,2,1,25.50,0,25.50,2024-09-13,18:47:57,in_store,card,completed,,5
1103,6,7,29,1,149.00,0,149.00,2024-03-20,18:11:26,in_store,cash,completed,,3
1489,12,1,20,3,99.00,5,282.15,2024-11-16,12:35:24,in_store,card,completed,,
1414,26,,17,1,280.00,0,280.00,2024-10-12,20:09:39,online,card,returned,2024-10-14,
1214,23,,28,2,59.00,0,118.00,2024-05-30,20:50:00,online,transfer,completed,2024-06-02,3
1025,9,1,12,1,249.00,10,224.10,2024-01-19,16:29:49,in_store,cash,completed,,
1262,17,3,10,1,799.00,0,799.00,2024-07-11,13:44:34,in_store,cash,completed,,3
1278,8,1,21,1,14.99,0,14.99,2024-07-25,13:24:44,in_store,transfer,completed,,5
1310,21,1,33,2,12.90,5,24.51,2024-08-13,13:28:56,in_store,card,completed,,4
1061,4,5,18,1,39.99,0,39.99,2024-02-19,10:13:43,in_store,card,completed,,4
1429,10,1,12,2,249.00,0,498.00,2024-10-26,15:16:12,in_store,cash,completed,,5
1402,2,,17,2,280.00,0,560.00,2024-10-04,09:55:18,online,card,completed,2024-10-06,5
1295,14,,34,1,19.00,0,19.00,2024-08-05,09:33:18,online,card,completed,2024-08-09,5
1385,14,5,1,2,1250.00,0,2500.00,2024-09-26,11:11:57,in_store,cash,completed,,4
1222,19,1,22,2,45.00,10,81.00,2024-06-05,16:34:05,in_store,cash,completed,,5
